___________________________________________,,,
Filename,spontaneousDialogueOnly_whisper_gpt_embeddings_transformed.csv,,
Model,svc,,
Reducer,pca,,
Sentence?,FALSE,,
___________________________________________,,,
{'memory',None,,
,Average,Accuracy,82.66666667
,Average,Specificity,86.66666667
,Average,Recall,80
,Average,Precision,88.33333333
,Average,F1Score,79.14285714
,,,
___________________,,,
Evaluate,model,,
,Accuracy,54.54545455,
,Specificity,50,
,Recall,57.14285714,
,Precision,40,
,F1Score,44.44444444,
,,,
___________________________________________,,,
Filename,spontaneousDialogueOnly_whisper_gpt_embeddings_transformed.csv,,
Model,svc,,
Reducer,lda,,
Sentence?,FALSE,,
___________________________________________,,,
{'memory',None,,
,Average,Accuracy,61.33333333
,Average,Specificity,80
,Average,Recall,43.33333333
,Average,Precision,73.33333333
,Average,F1Score,52.66666667
,,,
___________________,,,
Evaluate,model,,
,Accuracy,54.54545455,
,Specificity,75,
,Recall,42.85714286,
,Precision,42.85714286,
,F1Score,54.54545455,
,,,
___________________________________________,,,
Filename,spontaneousDialogueOnly_whisper_gpt_embeddings_transformed.csv,,
Model,svc,,
Reducer,mrmr,,
Sentence?,FALSE,,
___________________________________________,,,
{'C',0.1,,
,Average,Accuracy,100
,Average,Specificity,100
,Average,Recall,100
,Average,Precision,100
,Average,F1Score,100
,,,
___________________,,,
Evaluate,model,,
,Accuracy,54.54545455,
,Specificity,75,
,Recall,42.85714286,
,Precision,42.85714286,
,F1Score,54.54545455,
,,,
___________________________________________,,,
Filename,spontaneousDialogueOnly_whisper_gpt_embeddings_transformed.csv,,
Model,lr,,
Reducer,pca,,
Sentence?,FALSE,,
___________________________________________,,,
{'memory',None,,
,Average,Accuracy,82.66666667
,Average,Specificity,86.66666667
,Average,Recall,80
,Average,Precision,88.33333333
,Average,F1Score,79.14285714
,,,
___________________,,,
Evaluate,model,,
,Accuracy,63.63636364,
,Specificity,25,
,Recall,85.71428571,
,Precision,50,
,F1Score,33.33333333,
,,,
___________________________________________,,,
Filename,spontaneousDialogueOnly_whisper_gpt_embeddings_transformed.csv,,
Model,lr,,
Reducer,lda,,
Sentence?,FALSE,,
___________________________________________,,,
{'memory',None,,
,Average,Accuracy,50
,Average,Specificity,100
,Average,Recall,0
,Average,Precision,0
,Average,F1Score,0
,,,
___________________,,,
Evaluate,model,,
,Accuracy,63.63636364,
,Specificity,0,
,Recall,100,
,Precision,0,
,F1Score,0,
,,,
___________________________________________,,,
Filename,spontaneousDialogueOnly_whisper_gpt_embeddings_transformed.csv,,
